2016-04-01T12:22:55.700Z - info: Found: 220 stocks
2016-04-01T12:22:55.702Z - info: Started fetchDataForStock: INDUCT-ME.MERK
2016-04-01T12:22:55.707Z - info: Started fetchDataForStock: SIAF-ME.MERK
2016-04-01T12:22:55.708Z - info: Started fetchDataForStock: WRE-ME.MERK
2016-04-01T12:22:55.708Z - info: Started fetchDataForStock: ATLU-ME.MERK
2016-04-01T12:22:55.709Z - info: Started fetchDataForStock: OXXY-ME.MERK
2016-04-01T12:22:55.709Z - info: Started fetchDataForStock: BSP-ME.MERK
2016-04-01T12:22:55.710Z - info: Started fetchDataForStock: AASB-ME.MERK
2016-04-01T12:22:55.710Z - info: Started fetchDataForStock: HFISK.OSE
2016-04-01T12:22:55.710Z - info: Started fetchDataForStock: AGA.OSE
2016-04-01T12:22:55.710Z - info: Started fetchDataForStock: BRG.OSE
2016-04-01T12:22:55.710Z - info: Started fetchDataForStock: IOX.OSE
2016-04-01T12:22:55.710Z - info: Started fetchDataForStock: BIRD.OSE
2016-04-01T12:22:55.711Z - info: Started fetchDataForStock: ENTRA.OSE
2016-04-01T12:22:55.711Z - info: Started fetchDataForStock: NPRO.OSE
2016-04-01T12:22:55.711Z - info: Started fetchDataForStock: IMSK.OSE
2016-04-01T12:22:55.711Z - info: Started fetchDataForStock: DETNOR.OSE
2016-04-01T12:22:55.711Z - info: Started fetchDataForStock: NHY.OSE
2016-04-01T12:22:55.711Z - info: Started fetchDataForStock: TTS.OSE
2016-04-01T12:22:55.711Z - info: Started fetchDataForStock: AKVA.OSE
2016-04-01T12:22:55.711Z - info: Started fetchDataForStock: PPG PREF.OAX
2016-04-01T12:22:55.712Z - info: Started fetchDataForStock: TGS.OSE
2016-04-01T12:22:55.712Z - info: Started fetchDataForStock: APP.OSE
2016-04-01T12:22:55.712Z - info: Started fetchDataForStock: PCIB.OAX
2016-04-01T12:22:55.712Z - info: Started fetchDataForStock: AKSO.OSE
2016-04-01T12:22:55.712Z - info: Started fetchDataForStock: SONG.OSE
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: ATEA.OSE
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: AEGA.OAX
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: STB.OSE
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: GOGL R.OSE
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: SOAG.OSE
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: GIG.OSE
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: FOE.OSE
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: HAVI.OSE
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: SER.OAX
2016-04-01T12:22:55.713Z - info: Started fetchDataForStock: NANO.OSE
2016-04-01T12:22:55.714Z - info: Started fetchDataForStock: NONG.OSE
2016-04-01T12:22:55.714Z - info: Started fetchDataForStock: KOA.OSE
2016-04-01T12:22:55.714Z - info: Started fetchDataForStock: EAM.OAX
2016-04-01T12:22:55.714Z - info: Started fetchDataForStock: HYARD.OSE
2016-04-01T12:22:55.714Z - info: Started fetchDataForStock: APCL.OAX
2016-04-01T12:22:55.714Z - info: Started fetchDataForStock: POL.OSE
2016-04-01T12:22:55.714Z - info: Started fetchDataForStock: MCG.OAX
2016-04-01T12:22:55.714Z - info: Started fetchDataForStock: OTS.OSE
2016-04-01T12:22:55.714Z - info: Started fetchDataForStock: HNB.OSE
2016-04-01T12:22:55.715Z - info: Started fetchDataForStock: SDRL.OSE
2016-04-01T12:22:55.715Z - info: Started fetchDataForStock: EMAS.OSE
2016-04-01T12:22:55.715Z - info: Started fetchDataForStock: BMA.OSE
2016-04-01T12:22:55.715Z - info: Started fetchDataForStock: OCY.OSE
2016-04-01T12:22:55.715Z - info: Started fetchDataForStock: TIL.OSE
2016-04-01T12:22:55.715Z - info: Started fetchDataForStock: NAS.OSE
2016-04-01T12:22:55.715Z - info: Started fetchDataForStock: MORG.OSE
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: NGT.OSE
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: GJF.OSE
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: PDR.OSE
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: SBVG.OSE
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: CXENSE.OAX
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: KIT.OSE
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: ATLA NOK.OSE
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: KID.OSE
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: RING.OSE
2016-04-01T12:22:55.716Z - info: Started fetchDataForStock: VISTIN.OAX
2016-04-01T12:22:55.717Z - info: Started fetchDataForStock: SSC.OSE
2016-04-01T12:22:55.717Z - info: Started fetchDataForStock: BIONOR.OSE
2016-04-01T12:22:55.717Z - info: Started fetchDataForStock: SAS NOK.OSE
2016-04-01T12:22:55.717Z - info: Started fetchDataForStock: KOG.OSE
2016-04-01T12:22:55.717Z - info: Started fetchDataForStock: BERGEN.OSE
2016-04-01T12:22:55.717Z - info: Started fetchDataForStock: SIOFF.OSE
2016-04-01T12:22:55.718Z - info: Started fetchDataForStock: ISSG.OSE
2016-04-01T12:22:55.718Z - info: Started fetchDataForStock: QFR.OSE
2016-04-01T12:22:55.718Z - info: Started fetchDataForStock: MELG.OSE
2016-04-01T12:22:55.718Z - info: Started fetchDataForStock: BON.OSE
2016-04-01T12:22:55.718Z - info: Started fetchDataForStock: SALM.OSE
2016-04-01T12:22:55.718Z - info: Started fetchDataForStock: ASC.OSE
2016-04-01T12:22:55.718Z - info: Started fetchDataForStock: LINK.OAX
2016-04-01T12:22:55.718Z - info: Started fetchDataForStock: YAR.OSE
2016-04-01T12:22:55.718Z - info: Started fetchDataForStock: OPERA.OSE
2016-04-01T12:22:55.719Z - info: Started fetchDataForStock: HELG.OSE
2016-04-01T12:22:55.719Z - info: Started fetchDataForStock: STL.OSE
2016-04-01T12:22:55.719Z - info: Started fetchDataForStock: GYL.OSE
2016-04-01T12:22:55.719Z - info: Started fetchDataForStock: JAEREN.OSE
2016-04-01T12:22:55.719Z - info: Started fetchDataForStock: WRL.OSE
2016-04-01T12:22:55.719Z - info: Started fetchDataForStock: DNB.OSE
2016-04-01T12:22:55.719Z - info: Started fetchDataForStock: HBC.OAX
2016-04-01T12:22:55.720Z - info: Started fetchDataForStock: LSG.OSE
2016-04-01T12:22:55.720Z - info: Started fetchDataForStock: NRC.OSE
2016-04-01T12:22:55.720Z - info: Started fetchDataForStock: ITE.OSE
2016-04-01T12:22:55.720Z - info: Started fetchDataForStock: ITX.OSE
2016-04-01T12:22:55.720Z - info: Started fetchDataForStock: COV.OSE
2016-04-01T12:22:55.720Z - info: Started fetchDataForStock: PHO.OSE
2016-04-01T12:22:55.720Z - info: Started fetchDataForStock: DAT.OSE
2016-04-01T12:22:55.721Z - info: Started fetchDataForStock: VARDIA.OSE
2016-04-01T12:22:55.721Z - info: Started fetchDataForStock: ARCHER.OSE
2016-04-01T12:22:55.721Z - info: Started fetchDataForStock: SAGA.OAX
2016-04-01T12:22:55.721Z - info: Started fetchDataForStock: DOF.OSE
2016-04-01T12:22:55.721Z - info: Started fetchDataForStock: OLT.OSE
2016-04-01T12:22:55.721Z - info: Started fetchDataForStock: RISH.OSE
2016-04-01T12:22:55.721Z - info: Started fetchDataForStock: SKUE.OSE
2016-04-01T12:22:55.721Z - info: Started fetchDataForStock: AFG.OSE
2016-04-01T12:22:55.722Z - info: Started fetchDataForStock: BAKKA.OSE
2016-04-01T12:22:55.722Z - info: Started fetchDataForStock: IDEX.OSE
2016-04-01T12:22:55.722Z - info: Started fetchDataForStock: NORTH.OAX
2016-04-01T12:22:55.722Z - info: Started fetchDataForStock: HLNG.OSE
2016-04-01T12:22:55.722Z - info: Started fetchDataForStock: HUGO.OAX
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: RENO.OSE
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: NOD.OSE
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: SSO.OSE
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: SCHA.OSE
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: TIDE.OSE
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: ALNG.OAX
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: MHG.OSE
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: HNA.OSE
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: AMSC.OSE
2016-04-01T12:22:55.723Z - info: Started fetchDataForStock: BOUVET.OSE
2016-04-01T12:22:55.724Z - info: Started fetchDataForStock: AXA.OSE
2016-04-01T12:22:55.724Z - info: Started fetchDataForStock: AWDR.OAX
2016-04-01T12:22:55.724Z - info: Started fetchDataForStock: REACH.OSE
2016-04-01T12:22:55.724Z - info: Started fetchDataForStock: BWLPG.OSE
2016-04-01T12:22:55.724Z - info: Started fetchDataForStock: SBO.OSE
2016-04-01T12:22:55.724Z - info: Started fetchDataForStock: GOD.OSE
2016-04-01T12:22:55.725Z - info: Started fetchDataForStock: SKI.OSE
2016-04-01T12:22:55.725Z - info: Started fetchDataForStock: FLNG.OAX
2016-04-01T12:22:55.725Z - info: Started fetchDataForStock: BXPL.OAX
2016-04-01T12:22:55.725Z - info: Started fetchDataForStock: MSEIS.OAX
2016-04-01T12:22:55.725Z - info: Started fetchDataForStock: AURG.OSE
2016-04-01T12:22:55.726Z - info: Started fetchDataForStock: JIN.OSE
2016-04-01T12:22:55.726Z - info: Started fetchDataForStock: NAVA.OSE
2016-04-01T12:22:55.726Z - info: Started fetchDataForStock: SBX.OSE
2016-04-01T12:22:55.727Z - info: Started fetchDataForStock: NTS.OSE
2016-04-01T12:22:55.727Z - info: Started fetchDataForStock: PRS.OSE
2016-04-01T12:22:55.727Z - info: Started fetchDataForStock: WEIFA.OSE
2016-04-01T12:22:55.727Z - info: Started fetchDataForStock: WWI.OSE
2016-04-01T12:22:55.728Z - info: Started fetchDataForStock: BWO.OSE
2016-04-01T12:22:55.728Z - info: Started fetchDataForStock: SEVAN.OSE
2016-04-01T12:22:55.729Z - info: Started fetchDataForStock: AQUA.OSE
2016-04-01T12:22:55.729Z - info: Started fetchDataForStock: SDSD.OAX
2016-04-01T12:22:55.729Z - info: Started fetchDataForStock: THIN.OSE
2016-04-01T12:22:55.729Z - info: Started fetchDataForStock: NEL.OSE
2016-04-01T12:22:55.729Z - info: Started fetchDataForStock: SOR.OSE
2016-04-01T12:22:55.729Z - info: Started fetchDataForStock: ODL.OSE
2016-04-01T12:22:55.731Z - info: Started fetchDataForStock: GRO.OSE
2016-04-01T12:22:55.731Z - info: Started fetchDataForStock: SKBN.OSE
2016-04-01T12:22:55.731Z - info: Started fetchDataForStock: DESSC.OSE
2016-04-01T12:22:55.731Z - info: Started fetchDataForStock: NOM.OAX
2016-04-01T12:22:55.731Z - info: Started fetchDataForStock: ROM.OAX
2016-04-01T12:22:55.731Z - info: Started fetchDataForStock: SOLV.OSE
2016-04-01T12:22:55.731Z - info: Started fetchDataForStock: WWIB.OSE
2016-04-01T12:22:55.731Z - info: Started fetchDataForStock: BOR.OSE
2016-04-01T12:22:55.731Z - info: Started fetchDataForStock: ABT.OAX
2016-04-01T12:22:55.732Z - info: Started fetchDataForStock: AKER.OSE
2016-04-01T12:22:55.732Z - info: Started fetchDataForStock: TEAM.OSE
2016-04-01T12:22:55.732Z - info: Started fetchDataForStock: RAKP.OSE
2016-04-01T12:22:55.732Z - info: Started fetchDataForStock: VVL.OSE
2016-04-01T12:22:55.732Z - info: Started fetchDataForStock: MULTI.OSE
2016-04-01T12:22:55.732Z - info: Started fetchDataForStock: SSHIP.OAX
2016-04-01T12:22:55.732Z - info: Started fetchDataForStock: AVM.OSE
2016-04-01T12:22:55.733Z - info: Started fetchDataForStock: FAR.OSE
2016-04-01T12:22:55.733Z - info: Started fetchDataForStock: STRONG.OSE
2016-04-01T12:22:55.733Z - info: Started fetchDataForStock: TEL.OSE
2016-04-01T12:22:55.733Z - info: Started fetchDataForStock: FRO.OSE
2016-04-01T12:22:55.733Z - info: Started fetchDataForStock: SEVDR.OSE
2016-04-01T12:22:55.733Z - info: Started fetchDataForStock: TOM.OSE
2016-04-01T12:22:55.733Z - info: Started fetchDataForStock: EPR.OSE
2016-04-01T12:22:55.733Z - info: Started fetchDataForStock: GSF.OSE
2016-04-01T12:22:55.733Z - info: Started fetchDataForStock: SRBANK.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: WILS.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: STORM.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: DNO.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: GOGL.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: EKO.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: NSG.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: BULKIN.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: AUSS.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: EMGS.OSE
2016-04-01T12:22:55.735Z - info: Started fetchDataForStock: EIOF.OSE
2016-04-01T12:22:55.736Z - info: Started fetchDataForStock: ZAL.OSE
2016-04-01T12:22:55.736Z - info: Started fetchDataForStock: MEDI.OSE
2016-04-01T12:22:55.736Z - info: Started fetchDataForStock: AKA.OSE
2016-04-01T12:22:55.736Z - info: Started fetchDataForStock: FUNCOM.OSE
2016-04-01T12:22:55.736Z - info: Started fetchDataForStock: BEL.OSE
2016-04-01T12:22:55.736Z - info: Started fetchDataForStock: XXL.OSE
2016-04-01T12:22:55.736Z - info: Started fetchDataForStock: AURLPG.OAX
2016-04-01T12:22:55.736Z - info: Started fetchDataForStock: ODF.OSE
2016-04-01T12:22:55.737Z - info: Started fetchDataForStock: AFK.OSE
2016-04-01T12:22:55.737Z - info: Started fetchDataForStock: AVANCE.OSE
2016-04-01T12:22:55.737Z - info: Started fetchDataForStock: SCHB.OSE
2016-04-01T12:22:55.737Z - info: Started fetchDataForStock: NTSG.OSE
2016-04-01T12:22:55.737Z - info: Started fetchDataForStock: TOTG.OSE
2016-04-01T12:22:55.737Z - info: Started fetchDataForStock: KVAER.OSE
2016-04-01T12:22:55.737Z - info: Started fetchDataForStock: PEN.OSE
2016-04-01T12:22:55.737Z - info: Started fetchDataForStock: NEXT.OSE
2016-04-01T12:22:55.737Z - info: Started fetchDataForStock: SSI.OSE
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: HSPG.OSE
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: REM.OAX
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: NATTO.OAX
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: PROTCT.OSE
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: QEC.OSE
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: BIOTEC.OSE
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: SADG.OSE
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: PLCS.OSE
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: NAPA.OSE
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: PGS.OSE
2016-04-01T12:22:55.738Z - info: Started fetchDataForStock: ASETEK.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: PHLY.OAX
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: SOFF.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: SPOG.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: ORK.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: SCI.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: WWASA.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: SVEG.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: NOR.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: NRS.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: REC.OSE
2016-04-01T12:22:55.739Z - info: Started fetchDataForStock: SUBC.OSE
2016-04-01T12:22:55.740Z - info: Started fetchDataForStock: SNI.OSE
2016-04-01T12:22:55.740Z - info: Started fetchDataForStock: ODFB.OSE
2016-04-01T12:22:55.740Z - info: Started fetchDataForStock: VEI.OSE
2016-04-01T12:22:55.740Z - info: Started fetchDataForStock: HEX.OSE
2016-04-01T12:22:55.740Z - info: Started fetchDataForStock: SPU.OSE
2016-04-01T12:22:55.740Z - info: Started fetchDataForStock: SENDEX.OAX
2016-04-01T12:22:55.740Z - info: Started fetchDataForStock: MING.OSE
2016-04-01T12:23:16.788Z - error:  Error: connect ETIMEDOUT
    at exports._errnoException (util.js:746:11)
    at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1010:19)
